,home,distance,type,assisted,result
687,0,25,3-pt jump shot,1,1
688,0,1,2-pt layup,1,1
689,0,2,2-pt layup,0,1
690,0,2,2-pt layup,1,1
691,0,4,2-pt layup,0,0
692,0,9,2-pt jump shot,0,0
693,0,9,2-pt jump shot,0,1
694,0,25,3-pt jump shot,1,1
695,0,4,2-pt dunk,0,0
696,0,19,2-pt jump shot,0,0
697,0,2,2-pt layup,0,1
698,0,2,2-pt layup,0,0
699,0,11,2-pt jump shot,0,0
700,0,10,2-pt layup,0,0
701,0,5,2-pt layup,1,1
702,0,5,2-pt layup,0,1
703,0,2,2-pt layup,1,1
704,0,23,3-pt jump shot,1,1
705,0,25,3-pt jump shot,1,1
706,0,28,3-pt jump shot,0,0
707,1,23,3-pt jump shot,0,0
708,1,1,2-pt layup,0,1
709,1,2,2-pt layup,1,1
710,1,1,2-pt layup,0,1
711,1,3,2-pt layup,0,0
712,1,27,3-pt jump shot,0,0
713,1,24,3-pt jump shot,0,0
714,1,1,2-pt layup,0,1
715,1,17,2-pt jump shot,0,1
716,1,16,2-pt jump shot,0,0
717,1,14,2-pt jump shot,0,0
718,1,4,2-pt layup,0,1
719,1,20,2-pt jump shot,0,1
720,1,0,2-pt layup,0,0
721,1,2,2-pt layup,0,0
722,1,3,2-pt layup,0,0
723,1,2,2-pt layup,0,1
724,0,0,2-pt layup,0,1
725,0,3,2-pt layup,0,1
726,0,1,2-pt layup,1,1
727,0,14,2-pt jump shot,0,0
728,0,1,2-pt layup,0,0
729,0,22,2-pt jump shot,0,1
730,0,2,2-pt layup,1,1
731,0,1,2-pt layup,0,0
732,0,13,2-pt jump shot,0,0
733,0,2,2-pt layup,0,1
734,0,1,2-pt layup,1,1
735,0,8,2-pt layup,0,0
736,0,24,3-pt jump shot,0,0
737,0,9,2-pt jump shot,0,0
738,0,15,2-pt jump shot,0,0
739,0,3,2-pt layup,0,0
740,0,1,2-pt layup,1,1
741,0,1,2-pt layup,1,1
742,0,21,2-pt jump shot,0,1
743,0,17,2-pt jump shot,0,0
744,0,4,2-pt jump shot,0,1
745,0,3,2-pt layup,0,0
746,0,11,2-pt jump shot,0,0
747,0,1,2-pt layup,1,1
748,0,13,2-pt jump shot,0,1
749,0,0,2-pt layup,0,0
750,0,18,2-pt jump shot,0,0
751,0,9,2-pt jump shot,0,0
752,0,23,3-pt jump shot,0,0
753,0,1,2-pt dunk,0,1
754,0,5,2-pt jump shot,0,0
755,0,13,2-pt jump shot,0,0
756,0,13,2-pt jump shot,0,0
